01/12 10:31:00 FINE sim.Admin|Log for simulation 3 started
************************************************************
* Log for simulation 3 started
************************************************************


01/12 10:31:00 INFO sim.TACAdxSimulation|TACAA Simulation 3 is setting up...
01/12 10:31:00 INFO sim.TACAdxSimulation|Created Adx Agent
01/12 10:31:00 INFO sim.TACAdxSimulation|Created Demand Agent
01/12 10:31:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
01/12 10:31:00 FINE sim.ExternalAgent|WizardOfAdz setup with address adv1
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
01/12 10:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
01/12 10:31:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
01/12 10:31:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
01/12 10:31:00 INFO agents.DemandAgent|setting up...
01/12 10:31:00 FINE agents.DemandAgent|Finished setup
01/12 10:31:00 INFO sim.Simulation|***** START OF TIME 0 *****
01/12 10:31:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=24549887, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.0684357330703707, mobileCoef=1.6160753745489367, budgetMillis=5590, advertiser=adv1]
01/12 10:31:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@138350a event: tau.tac.adx.messages.UserClassificationServiceNotification@e9e080
01/12 10:31:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=12521015, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.585320442350702, mobileCoef=2.4012590307709223, budgetMillis=9540, advertiser=DummyAdnetwork]
01/12 10:31:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@138350a event: tau.tac.adx.messages.UserClassificationServiceNotification@c2165
01/12 10:31:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2769253, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.6566129934114744, mobileCoef=2.402176343301468, budgetMillis=10952, advertiser=DummyAdnetwork-2]
01/12 10:31:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@138350a event: tau.tac.adx.messages.UserClassificationServiceNotification@1409651
01/12 10:31:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=27508812, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.29331334214039, mobileCoef=2.0788218070410305, budgetMillis=3312, advertiser=DummyAdnetwork-3]
01/12 10:31:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@138350a event: tau.tac.adx.messages.UserClassificationServiceNotification@1db14
01/12 10:31:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=6197912, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.2440770677106503, mobileCoef=2.466512007574169, budgetMillis=7020, advertiser=DummyAdnetwork-4]
01/12 10:31:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@138350a event: tau.tac.adx.messages.UserClassificationServiceNotification@1a7709c
