01/12 10:46:00 FINE sim.Admin|Log for simulation 7 started
************************************************************
* Log for simulation 7 started
************************************************************


01/12 10:46:00 INFO sim.TACAdxSimulation|TACAA Simulation 7 is setting up...
01/12 10:46:00 INFO sim.TACAdxSimulation|Created Adx Agent
01/12 10:46:00 INFO sim.TACAdxSimulation|Created Demand Agent
01/12 10:46:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
01/12 10:46:00 FINE sim.ExternalAgent|WizardOfAdz setup with address adv1
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
01/12 10:46:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
01/12 10:46:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
01/12 10:46:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
01/12 10:46:00 INFO agents.DemandAgent|setting up...
01/12 10:46:00 FINE agents.DemandAgent|Finished setup
01/12 10:46:00 INFO sim.Simulation|***** START OF TIME 0 *****
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=24636547, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.1613426116459635, mobileCoef=1.5273544239268078, budgetMillis=5590, advertiser=adv1]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@112e0e
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=13644949, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.7546534354828425, mobileCoef=1.6809440401518074, budgetMillis=3312, advertiser=DummyAdnetwork]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@1b189bb
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=16281028, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.9843820184936503, mobileCoef=2.2447215368703484, budgetMillis=5590, advertiser=DummyAdnetwork-2]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@fe937c
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=27630608, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.393384859024129, mobileCoef=1.5703221869496553, budgetMillis=10952, advertiser=DummyAdnetwork-3]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@b635ce
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=29226897, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.1870704043302633, mobileCoef=1.8981712785261011, budgetMillis=3312, advertiser=DummyAdnetwork-4]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@152ebe9
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1747407, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.8598200351658836, mobileCoef=1.6815334111655882, budgetMillis=9540, advertiser=DummyAdnetwork-5]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@17deec7
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=29394246, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.55766469188485, mobileCoef=2.125647348919502, budgetMillis=9540, advertiser=DummyAdnetwork-6]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@18329f4
01/12 10:46:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=14067674, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.487943622651456, mobileCoef=1.5278136698973048, budgetMillis=10952, advertiser=DummyAdnetwork-7]
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@9971d1
01/12 10:46:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1299b57 event: tau.tac.adx.messages.UserClassificationServiceNotification@1602db1
01/12 10:46:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=32270624, reachImps=5206, dayStart=2, dayEnd=11, targetSegment=[OLD, MALE], videoCoef=2.355166842122159, mobileCoef=1.7101735636577082, budgetMillis=0, advertiser=null]
01/12 10:46:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.19851691418467998 Cmp ID: 32270624 Cmp Bid: 3674
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.13685120047602423 Cmp ID: 32270624 Cmp Bid: 3561
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.12310891257809656 Cmp ID: 32270624 Cmp Bid: 3143
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.111437174747249 Cmp ID: 32270624 Cmp Bid: 2622
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.12485651537159867 Cmp ID: 32270624 Cmp Bid: 868
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.1029470168277611 Cmp ID: 32270624 Cmp Bid: 2974
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.11140149351913722 Cmp ID: 32270624 Cmp Bid: 3775
01/12 10:46:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.12228977626722613 Cmp ID: 32270624 Cmp Bid: 3146
01/12 10:46:10 INFO sim.Simulation|***** START OF TIME 1 *****
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #13644949 at price 3.312
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #13644949 at price 3.312
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #16281028 at price 5.59
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #16281028 at price 5.59
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #27630608 at price 10.952
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #27630608 at price 10.952
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #29226897 at price 3.312
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #29226897 at price 3.312
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1747407 at price 9.54
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1747407 at price 9.54
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #29394246 at price 9.54
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #29394246 at price 9.54
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #14067674 at price 10.952
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #14067674 at price 10.952
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
01/12 10:46:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #24636547 at price 5.59
01/12 10:46:10 INFO demand.CampaignImpl|Applied daily limit for campaign #24636547 at price 5.59
